Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Virginia,1,East,0.533,0.250,0.217,1.077,0.364,0.297,0.506,0.663,0.424,62.496,0.984,3.412,0.542,0.328,0.769,0.163,0.319,0.339,0.079,0.439,0.085,0.156,0.183,0.324,0.625,0.824,,,,,,,,,12
Arizona,1,West,0.573,0.217,0.209,1.088,0.356,0.265,0.515,0.655,0.417,67.220,1.002,5.265,0.551,0.350,0.775,0.155,0.314,0.262,0.080,0.422,0.088,0.137,0.185,0.345,0.727,0.882,,,,,,,,,24
Florida,1,South,0.496,0.291,0.214,1.112,0.368,0.353,0.527,0.661,0.434,64.769,0.982,4.265,0.563,0.344,0.725,0.175,0.333,0.315,0.056,0.451,0.111,0.148,0.216,0.326,0.875,0.941,,,,,,,,,16
Wichita State,1,Midwest,0.477,0.274,0.249,1.131,0.347,0.365,0.520,0.729,0.473,66.831,0.994,4.545,0.564,0.343,0.781,0.156,0.313,0.354,0.096,0.448,0.102,0.151,0.179,0.356,1.000,1.000,,,,,,,,,154
Villanova,2,East,0.426,0.345,0.229,1.154,0.361,0.446,0.540,0.712,0.451,70.628,0.973,3.781,0.582,0.325,0.748,0.167,0.353,0.327,0.073,0.465,0.098,0.173,0.196,0.386,0.875,0.875,,,,,,,,,39
Wisconsin,2,West,0.447,0.316,0.236,1.150,0.373,0.393,0.531,0.744,0.441,65.138,0.993,1.545,0.563,0.262,0.746,0.124,0.343,0.253,0.061,0.475,0.077,0.150,0.152,0.259,0.714,0.788,,,,,,,,,3
Kansas,2,South,0.548,0.210,0.242,1.167,0.345,0.292,0.545,0.711,0.489,70.772,0.961,-0.606,0.607,0.360,0.734,0.186,0.359,0.311,0.101,0.471,0.083,0.170,0.160,0.458,0.429,0.727,,,,,,,,,2
Michigan,2,Midwest,0.460,0.342,0.198,1.181,0.394,0.400,0.554,0.761,0.358,64.608,0.971,0.576,0.575,0.265,0.719,0.144,0.319,0.323,0.046,0.496,0.079,0.185,0.170,0.276,0.818,0.758,,,,,,,,,1
Iowa State,3,East,0.506,0.301,0.193,1.134,0.351,0.381,0.538,0.694,0.372,74.716,0.977,0.394,0.598,0.263,0.737,0.141,0.336,0.338,0.046,0.471,0.081,0.180,0.159,0.311,0.833,0.788,,,,,,,,,7
Creighton,3,West,0.430,0.391,0.179,1.242,0.422,0.446,0.593,0.752,0.343,66.773,0.959,-1.515,0.617,0.258,0.735,0.149,0.336,0.348,0.025,0.480,0.061,0.182,0.148,0.329,0.800,0.788,,,,,,,,,35
