Team,Seed,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Alabama,1,0.434,0.362,0.203,1.114,0.334,0.472,0.521,0.725,0.366,76.200,0.969,-0.135,0.608,0.329,0.755,0.181,0.282,0.299,0.079,0.413,0.079,0.129,0.153,0.326,1.000,0.852,13,5,6,0,7,0,3,0,12
Purdue,1,0.507,0.281,0.210,1.116,0.321,0.383,0.518,0.744,0.371,65.911,0.998,3.457,0.591,0.377,0.798,0.168,0.313,0.354,0.063,0.471,0.071,0.187,0.150,0.192,0.769,0.852,10,4,9,1,5,0,5,0,29
Houston,1,0.524,0.307,0.168,1.105,0.340,0.379,0.522,0.732,0.288,66.585,1.022,7.378,0.568,0.367,0.757,0.149,0.278,0.434,0.094,0.426,0.118,0.152,0.205,0.357,0.750,0.911,7,2,8,0,7,1,9,0,77
Kansas,1,0.553,0.277,0.169,1.110,0.346,0.338,0.526,0.719,0.298,72.071,0.947,1.611,0.570,0.269,0.734,0.171,0.309,0.352,0.066,0.469,0.122,0.156,0.198,0.310,0.818,0.794,17,7,4,0,3,0,3,0,1
Arizona,2,0.508,0.308,0.183,1.182,0.377,0.376,0.564,0.707,0.358,74.240,0.937,-1.028,0.622,0.286,0.758,0.180,0.322,0.387,0.049,0.470,0.081,0.170,0.165,0.254,0.714,0.823,9,2,7,4,5,0,7,0,51
Marquette,2,0.514,0.338,0.147,1.164,0.353,0.419,0.559,0.717,0.270,71.795,0.952,3.194,0.642,0.237,0.697,0.149,0.346,0.375,0.052,0.509,0.127,0.206,0.220,0.291,0.545,0.823,8,5,6,0,6,1,8,0,34
Texas,2,0.546,0.277,0.176,1.130,0.346,0.345,0.532,0.748,0.305,72.152,0.959,4.394,0.586,0.277,0.734,0.160,0.323,0.347,0.063,0.481,0.109,0.153,0.217,0.337,0.888,0.764,14,8,4,0,1,0,7,0,7
UCLA,2,0.587,0.248,0.164,1.080,0.348,0.289,0.510,0.730,0.274,68.789,0.998,7.918,0.539,0.313,0.744,0.145,0.310,0.387,0.071,0.467,0.121,0.162,0.227,0.274,0.571,0.852,8,5,9,0,5,0,7,0,7
Baylor,3,0.425,0.369,0.204,1.139,0.367,0.448,0.532,0.744,0.367,69.685,0.963,2.441,0.567,0.319,0.702,0.174,0.325,0.378,0.043,0.515,0.094,0.218,0.194,0.312,0.667,0.687,11,10,4,0,0,0,7,0,6
Kansas State,3,0.512,0.282,0.204,1.123,0.343,0.361,0.523,0.748,0.360,73.381,0.924,0.527,0.590,0.278,0.719,0.188,0.307,0.369,0.048,0.480,0.109,0.186,0.204,0.362,0.666,0.718,9,8,4,1,3,0,7,0,22
