Team,Seed,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG%,FT %,FTA/FGA,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3PT%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Wins,Losses,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
UConn,1,0.514,0.313,0.172,1.194,0.357,0.397,0.569,0.743,0.319,67.873,1.010,3.675,0.644,0.356,0.768,0.141,0.312,0.328,0.095,0.443,0.090,0.147,0.155,0.311,0.800,31,3,13,3,8,0,1,0,9,0,1
North Carolina,1,0.491,0.297,0.210,1.113,0.358,0.419,0.515,0.758,0.362,73.254,1.006,3.972,0.554,0.316,0.794,0.137,0.320,0.358,0.066,0.467,0.078,0.137,0.144,0.282,0.375,27,7,9,3,7,4,6,0,5,0,5
Houston,1,0.511,0.315,0.173,1.062,0.348,0.421,0.503,0.687,0.307,66.351,1.049,10.324,0.530,0.368,0.716,0.134,0.301,0.401,0.095,0.439,0.147,0.171,0.238,0.394,0.625,30,4,16,4,3,0,4,0,7,0,3
Purdue,1,0.492,0.297,0.210,1.181,0.403,0.404,0.558,0.719,0.412,70.130,0.993,1.076,0.569,0.368,0.771,0.161,0.314,0.365,0.058,0.475,0.077,0.202,0.134,0.220,0.571,29,4,12,4,8,0,6,0,3,0,2
Iowa State,2,0.543,0.262,0.192,1.105,0.358,0.381,0.520,0.702,0.353,69.038,0.980,7.108,0.561,0.297,0.718,0.150,0.315,0.452,0.059,0.473,0.149,0.175,0.245,0.347,0.667,27,7,10,6,6,1,2,0,9,0,4
Arizona,2,0.535,0.271,0.192,1.152,0.365,0.265,0.545,0.716,0.363,76.289,0.993,5.777,0.594,0.345,0.793,0.156,0.329,0.378,0.059,0.483,0.109,0.180,0.175,0.258,0.167,25,8,8,3,7,4,8,1,9,0,16
Marquette,2,0.520,0.339,0.140,1.141,0.352,0.412,0.550,0.703,0.255,71.028,0.966,3.216,0.618,0.242,0.713,0.140,0.336,0.428,0.060,0.498,0.120,0.207,0.206,0.269,0.750,25,9,9,8,6,1,4,0,6,0,8
Tennessee,2,0.468,0.333,0.198,1.099,0.344,0.325,0.511,0.750,0.337,71.591,1.005,4.416,0.549,0.316,0.736,0.142,0.311,0.410,0.079,0.453,0.108,0.154,0.181,0.356,0.333,24,8,8,7,5,1,6,0,5,0,6
Illinois,3,0.496,0.300,0.202,1.143,0.349,0.513,0.535,0.735,0.370,72.263,1.007,1.000,0.593,0.340,0.761,0.146,0.340,0.282,0.059,0.479,0.060,0.167,0.120,0.267,0.625,26,8,8,6,6,1,7,1,5,0,7
Baylor,3,0.463,0.326,0.209,1.183,0.394,0.396,0.557,0.735,0.401,69.655,0.962,1.529,0.593,0.329,0.750,0.172,0.334,0.354,0.054,0.513,0.092,0.195,0.166,0.312,0.500,23,10,10,9,4,1,3,0,5,0,10
Kentucky,3,0.495,0.333,0.170,1.203,0.408,0.394,0.571,0.771,0.304,76.725,0.969,-0.242,0.598,0.260,0.726,0.139,0.331,0.401,0.096,0.495,0.097,0.189,0.154,0.334,0.400,23,9,6,7,2,1,8,1,7,0,26
Creighton,3,0.455,0.399,0.144,1.199,0.368,0.484,0.572,0.787,0.246,70.510,0.950,-4.457,0.651,0.238,0.768,0.150,0.322,0.278,0.061,0.463,0.054,0.162,0.107,0.160,0.444,23,9,8,5,7,4,1,0,7,0,14
Auburn,4,0.501,0.288,0.209,1.160,0.352,0.385,0.542,0.750,0.382,72.509,0.986,2.057,0.601,0.314,0.714,0.147,0.302,0.334,0.105,0.436,0.101,0.132,0.177,0.414,0.000,27,7,3,7,10,0,9,0,5,0,12
Alabama,4,0.433,0.371,0.194,1.197,0.372,0.535,0.562,0.771,0.353,76.272,0.989,0.459,0.649,0.334,0.713,0.154,0.317,0.371,0.068,0.496,0.090,0.167,0.148,0.387,0.833,21,11,4,10,7,1,7,0,3,0,9
Duke,4,0.498,0.315,0.185,1.152,0.376,0.434,0.546,0.722,0.343,68.554,0.990,2.861,0.608,0.297,0.759,0.141,0.318,0.346,0.064,0.485,0.095,0.182,0.164,0.281,0.300,24,8,5,4,6,4,7,0,6,0,11
Kansas,4,0.589,0.230,0.179,1.129,0.336,0.358,0.534,0.722,0.324,71.443,0.940,-0.878,0.588,0.243,0.755,0.162,0.345,0.410,0.065,0.482,0.099,0.181,0.162,0.285,0.700,22,10,7,9,6,0,4,1,4,0,13
San Diego State,5,0.504,0.283,0.211,1.078,0.315,0.333,0.499,0.729,0.367,69.646,0.981,2.171,0.562,0.310,0.729,0.158,0.310,0.402,0.070,0.472,0.106,0.166,0.176,0.331,0.545,24,10,4,9,6,1,6,0,6,0,29
Saint Mary's,5,0.536,0.312,0.151,1.097,0.342,0.352,0.527,0.671,0.279,66.014,1.009,5.727,0.572,0.369,0.814,0.155,0.322,0.292,0.070,0.451,0.097,0.153,0.161,0.333,0.700,26,7,5,3,3,2,5,2,12,0,54
Wisconsin,5,0.517,0.285,0.196,1.120,0.348,0.506,0.522,0.755,0.338,68.027,0.979,3.472,0.585,0.284,0.774,0.146,0.369,0.342,0.030,0.520,0.091,0.173,0.165,0.338,0.428,22,13,5,9,9,4,4,0,4,0,19
Gonzaga,5,0.586,0.249,0.163,1.189,0.361,0.297,0.570,0.726,0.307,70.725,0.993,1.529,0.620,0.318,0.736,0.137,0.341,0.365,0.061,0.473,0.093,0.178,0.157,0.252,0.500,25,7,3,6,4,1,5,0,12,0,17
BYU,6,0.443,0.409,0.146,1.146,0.347,0.401,0.548,0.742,0.253,71.872,0.990,3.558,0.621,0.310,0.788,0.148,0.320,0.339,0.050,0.481,0.082,0.165,0.155,0.320,0.400,23,10,6,8,5,2,4,0,8,0,27
Clemson,6,0.499,0.318,0.182,1.149,0.350,0.431,0.538,0.780,0.307,69.702,0.967,-0.916,0.588,0.254,0.760,0.144,0.331,0.410,0.064,0.481,0.065,0.157,0.135,0.320,0.454,21,11,5,5,5,5,6,1,5,0,18
Texas Tech,6,0.459,0.338,0.202,1.133,0.359,0.468,0.525,0.780,0.341,68.834,0.963,-0.529,0.575,0.284,0.709,0.161,0.322,0.386,0.042,0.492,0.087,0.173,0.166,0.271,0.800,23,10,6,9,4,1,6,0,7,0,20
South Carolina,6,0.482,0.335,0.182,1.080,0.338,0.435,0.508,0.711,0.318,67.223,0.987,1.382,0.588,0.298,0.749,0.150,0.338,0.313,0.056,0.484,0.070,0.171,0.145,0.316,0.727,26,7,6,5,5,0,6,2,9,0,15
Washington State,7,0.563,0.259,0.176,1.093,0.338,0.449,0.517,0.704,3.150,68.519,0.984,2.485,0.559,0.317,0.786,0.159,0.324,0.311,0.086,0.471,0.075,0.158,0.152,0.322,0.857,24,9,6,4,3,4,7,1,8,0,35
Dayton,7,0.425,0.379,0.194,1.189,0.398,0.407,0.562,0.740,0.368,66.473,0.945,-1.787,0.595,0.241,0.735,0.156,0.319,0.401,0.066,0.483,0.082,0.190,0.155,0.219,0.583,24,7,3,4,5,3,9,0,7,0,24
Florida,7,0.517,0.272,0.209,1.107,0.344,0.387,0.517,0.715,0.384,76.045,1.017,2.722,0.571,0.363,0.737,0.153,0.326,0.323,0.081,0.492,0.099,0.157,0.142,0.348,0.500,24,11,6,8,4,2,9,1,5,0,21
