Team,Seed,OFF. Eff.,DEF. Eff.,Efficiency Margin,% of Points from 2,% of Points from 3,% of Points from FT,True Shooting %,3P %,3P Rate,eFG,FT %,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO %,Opp. 3PT %,Opp. 3P Rate,Block %,Def. eFG %,Steals per Possession,Opp. Asst./Poss.,Opp. TO/poss.,Opp. FTA/FGA,Close Game Win %,Win%,Strength of Schedule 
Auburn,1,1.182,0.981,0.201,0.488,0.328,0.183,1.171,0.368,0.406,0.557,0.727,0.335,70.900,1.014,4.300,0.605,0.333,0.732,0.130,0.298,0.353,0.102,0.460,0.095,0.135,0.168,0.392,0.778,0.848,3
Florida,1,1.178,0.955,0.271,0.470,0.348,0.181,1.160,0.355,0.436,0.550,0.728,0.326,72.500,1.022,3.700,0.616,0.369,0.731,0.147,0.294,0.372,0.073,0.453,0.104,0.155,0.164,0.330,0.500,0.882,32
Houston,1,1.131,0.891,0.240,0.507,0.327,0.166,1.112,0.398,0.345,0.527,0.740,0.282,65.600,1.026,8.200,0.523,0.357,0.753,0.142,0.302,0.434,0.090,0.449,0.122,0.168,0.209,0.341,0.429,0.882,9
Duke,1,1.211,0.907,0.304,0.451,0.369,0.180,1.230,0.377,0.454,0.574,0.790,0.321,68.300,1.004,3.800,0.644,0.341,0.763,0.140,0.311,0.383,0.067,0.445,0.099,0.166,0.167,0.254,0.333,0.911,37
Alabama,2,1.156,1.033,0.123,0.451,0.348,0.201,1.200,0.350,0.462,0.564,0.720,0.401,78.800,0.974,-2.400,0.685,0.327,0.731,0.162,0.304,0.346,0.066,0.479,0.077,0.163,0.130,0.339,0.667,0.757,1
St. John's,2,1.069,0.895,0.174,0.590,0.235,0.176,1.044,0.304,0.303,0.497,0.691,0.302,73.600,1.023,7.800,0.557,0.355,0.728,0.151,0.306,0.408,0.088,0.466,0.121,0.175,0.209,0.304,0.500,0.882,40
Michigan State,2,1.102,0.948,0.154,0.545,0.231,0.224,1.115,0.308,0.327,0.512,0.779,0.378,70.900,0.987,2.700,0.578,0.337,0.771,0.163,0.280,0.407,0.078,0.461,0.077,0.174,0.159,0.331,0.571,0.818,19
Tennessee,2,1.106,0.932,0.174,0.462,0.339,0.200,1.132,0.340,0.430,0.528,0.745,0.354,67.600,0.987,2.400,0.593,0.336,0.737,0.155,0.287,0.446,0.084,0.444,0.104,0.151,0.173,0.294,0.600,0.794,17
Kentucky,3,1.146,1.046,0.100,0.474,0.338,0.188,1.179,0.374,0.417,0.560,0.731,0.359,74.400,0.968,-0.600,0.606,0.270,0.748,0.149,0.305,0.437,0.064,0.504,0.093,0.172,0.139,0.310,0.600,0.666,10
Iowa State,3,1.115,0.945,0.170,0.508,0.286,0.206,1.172,0.358,0.369,0.546,0.753,0.385,72.100,0.957,4.000,0.609,0.305,0.744,0.165,0.336,0.409,0.060,0.484,0.129,0.186,0.212,0.289,0.400,0.727,30
Texas Tech,3,1.172,0.979,0.193,0.458,0.372,0.171,1.161,0.379,0.446,0.555,0.760,0.297,69.000,1.006,3.400,0.594,0.322,0.731,0.144,0.324,0.346,0.055,0.480,0.092,0.162,0.167,0.335,0.583,0.757,47
Wisconsin,3,1.131,0.999,0.132,0.422,0.370,0.208,1.168,0.349,0.481,0.536,0.826,0.338,70.500,0.971,-0.500,0.618,0.247,0.752,0.138,0.333,0.391,0.039,0.479,0.073,0.179,0.141,0.281,0.500,0.742,18
Purdue,4,1.150,1.049,0.101,0.496,0.319,0.185,1.182,0.385,0.381,0.563,0.732,0.346,67.700,0.970,1.100,0.603,0.292,0.713,0.153,0.312,0.426,0.029,0.520,0.096,0.217,0.174,0.310,0.571,0.666,2
Arizona,4,1.126,0.998,0.128,0.531,0.261,0.208,1.150,0.324,0.346,0.529,0.780,0.366,72.600,0.990,2.100,0.589,0.346,0.748,0.158,0.340,0.413,0.071,0.486,0.104,0.184,0.158,0.292,0.167,0.647,6
Texas A&M,4,1.058,0.968,0.090,0.489,0.280,0.231,1.035,0.374,0.417,0.560,0.692,0.417,70.200,1.019,6.600,0.567,0.402,0.745,0.176,0.333,0.462,0.073,0.482,0.107,0.207,0.188,0.353,0.667,0.687,8
Maryland,4,1.127,0.924,0.203,0.512,0.300,0.188,1.140,0.372,0.355,0.538,0.750,0.329,72.500,0.983,4.300,0.560,0.289,0.738,0.142,0.306,0.362,0.075,0.470,0.109,0.167,0.197,0.259,0.364,0.757,61
Oregon,5,1.074,0.999,0.075,0.505,0.303,0.192,1.124,0.340,0.386,0.522,0.757,0.334,71.000,0.956,-0.200,0.584,0.276,0.721,0.159,0.316,0.377,0.062,0.490,0.101,0.182,0.171,0.278,0.778,0.727,12
Clemson,5,1.123,0.966,0.157,0.497,0.334,0.169,1.133,0.372,0.384,0.536,0.768,0.282,68.000,0.988,3.400,0.569,0.319,0.714,0.154,0.319,0.380,0.062,0.489,0.109,0.155,0.196,0.276,0.429,0.818,59
Memphis,5,1.085,0.992,0.093,0.516,0.279,0.205,1.134,0.380,0.331,0.536,0.702,0.394,73.800,0.957,0.400,0.573,0.338,0.702,0.187,0.324,0.410,0.078,0.485,0.105,0.187,0.185,0.336,0.909,0.852,75
Michigan,5,1.072,0.975,0.097,0.492,0.315,0.193,1.148,0.334,0.425,0.545,0.728,0.350,73.000,0.938,-3.000,0.618,0.312,0.725,0.193,0.308,0.391,0.058,0.463,0.072,0.155,0.153,0.285,0.750,0.735,7
Missouri,6,1.178,1.030,0.148,0.452,0.312,0.236,1.192,0.370,0.415,0.562,0.730,0.468,71.700,0.983,3.400,0.629,0.326,0.693,0.149,0.336,0.378,0.046,0.507,0.131,0.175,0.197,0.353,0.333,0.666,65
BYU,6,1.143,1.000,0.143,0.453,0.387,0.160,1.185,0.371,0.483,0.572,0.713,0.302,70.900,0.962,1.300,0.639,0.316,0.757,0.171,0.357,0.462,0.054,0.506,0.100,0.188,0.165,0.295,0.625,0.727,53
Ole Miss,6,1.076,1.000,0.076,0.474,0.322,0.204,1.107,0.341,0.402,0.511,0.738,0.356,71.700,0.976,3.700,0.573,0.228,0.721,0.124,0.325,0.435,0.067,0.505,0.122,0.195,0.198,0.394,0.583,0.666,29
Illinois,6,1.125,1.001,0.124,0.462,0.338,0.200,1.127,0.311,0.469,0.523,0.762,0.346,74.500,1.000,0.500,0.628,0.353,0.769,0.155,0.336,0.305,0.064,0.473,0.058,0.171,0.121,0.268,0.500,0.636,11
UCLA,7,1.103,0.970,0.133,0.521,0.300,0.178,1.115,0.352,0.360,0.530,0.710,0.329,67.700,0.985,6.100,0.567,0.321,0.718,0.156,0.328,0.450,0.061,0.505,0.120,0.191,0.224,0.346,0.727,0.687,50
Marquette,7,1.092,0.973,0.119,0.478,0.370,0.152,1.092,0.325,0.463,0.521,0.720,0.261,70.400,0.997,5.900,0.599,0.281,0.716,0.132,0.317,0.394,0.065,0.499,0.127,0.209,0.209,0.302,0.667,0.696,15
St. Mary's,7,1.118,0.935,0.183,0.560,0.263,0.177,1.064,0.327,0.333,0.509,0.695,0.314,65.600,1.038,6.200,0.553,0.392,0.779,0.148,0.314,0.318,0.072,0.462,0.093,0.189,0.159,0.250,0.625,0.848,92
Kansas,7,1.064,0.967,0.097,0.565,0.293,0.141,1.108,0.352,0.343,0.531,0.716,0.243,71.600,0.959,-0.900,0.583,0.280,0.745,0.163,0.308,0.406,0.077,0.462,0.087,0.180,0.152,0.280,0.667,0.636,4
Mississippi State,8,1.106,1.028,0.078,0.505,0.320,0.175,1.096,0.314,0.423,0.517,0.701,0.316,72.100,1.008,4.900,0.608,0.323,0.726,0.147,0.358,0.440,0.077,0.519,0.127,0.187,0.185,0.354,0.600,0.636,16
Louisville,8,1.112,0.975,0.137,0.451,0.358,0.191,1.134,0.330,0.481,0.534,0.746,0.345,70.700,0.977,2.900,0.630,0.310,0.749,0.162,0.341,0.398,0.049,0.492,0.090,0.167,0.181,0.268,0.857,0.794,36
UCONN,8,1.150,1.011,0.139,0.486,0.333,0.181,1.171,0.354,0.426,0.555,0.791,0.306,67.300,0.982,1.800,0.623,0.346,0.762,0.167,0.350,0.342,0.115,0.483,0.081,0.149,0.153,0.400,0.500,0.696,42
Gonzaga,8,1.181,0.950,0.231,0.559,0.261,0.180,1.193,0.344,0.335,0.557,0.804,0.309,73.300,0.995,4.600,0.627,0.304,0.764,0.129,0.303,0.402,0.049,0.476,0.102,0.168,0.175,0.286,0.000,0.757,82
Baylor,9,1.107,1.021,0.086,0.488,0.330,0.182,1.093,0.347,0.402,0.515,0.748,0.310,68.200,1.005,3.900,0.570,0.335,0.706,0.158,0.359,0.414,0.048,0.512,0.108,0.215,0.182,0.335,0.364,0.575,14
Oklahoma,9,1.105,1.049,0.056,0.449,0.325,0.226,1.181,0.370,0.419,0.549,0.795,0.396,71.400,0.932,-1.700,0.604,0.251,0.697,0.169,0.303,0.420,0.039,0.511,0.109,0.172,0.178,0.358,0.500,0.606,48
Georgia,9,1.073,0.984,0.089,0.508,0.275,0.216,1.117,0.335,0.368,0.525,0.717,0.398,70.400,0.956,-0.500,0.591,0.341,0.703,0.184,0.316,0.404,0.086,0.472,0.110,0.173,0.175,0.304,0.571,0.625,57
Creighton,9,1.082,1.000,0.082,0.464,0.380,0.156,1.172,0.339,0.490,0.558,0.728,0.285,69.500,0.929,-6.200,0.678,0.254,0.746,0.177,0.326,0.353,0.068,0.470,0.052,0.167,0.114,0.169,0.750,0.705,22
Vanderbilt,10,1.104,1.037,0.067,0.498,0.308,0.194,1.105,0.325,0.402,0.517,0.746,0.340,72.100,0.993,5.200,0.605,0.297,0.723,0.144,0.366,0.377,0.070,0.529,0.125,0.168,0.194,0.390,0.875,0.625,58
Utah State,10,1.152,1.018,0.134,0.483,0.327,0.190,1.161,0.358,0.423,0.560,0.702,0.376,69.200,0.984,4.300,0.638,0.321,0.727,0.155,0.340,0.444,0.052,0.518,0.121,0.207,0.195,0.362,0.727,0.787,91
New Mexico,10,1.059,0.937,0.122,0.544,0.255,0.201,1.081,0.341,0.322,0.508,0.677,0.378,75.500,0.978,5.700,0.561,0.289,0.772,0.151,0.338,0.383,0.086,0.492,0.113,0.196,0.197,0.350,0.625,0.787,87
Arkansas,10,1.060,0.984,0.076,0.524,0.275,0.201,1.118,0.333,0.367,0.527,0.739,0.355,72.300,0.950,-1.000,0.583,0.250,0.720,0.161,0.314,0.389,0.091,0.483,0.104,0.169,0.168,0.294,0.546,0.606,43
Drake,11,1.110,0.965,0.145,0.502,0.281,0.217,1.144,0.350,0.368,0.538,0.700,0.430,61.900,0.965,5.300,0.585,0.359,0.769,0.182,0.312,0.386,0.052,0.517,0.141,0.164,0.214,0.358,0.714,0.909,142
Xavier,11,1.093,1.002,0.091,0.467,0.322,0.211,1.167,0.391,0.376,0.541,0.789,0.367,71.400,0.931,-0.100,0.577,0.209,0.764,0.153,0.344,0.374,0.043,0.510,0.108,0.201,0.172,0.286,0.444,0.647,49
UNC,11,1.107,1.024,0.083,0.512,0.296,0.192,1.150,0.356,0.372,0.541,0.741,0.348,73.000,0.960,-0.500,0.609,0.255,0.751,0.147,0.335,0.381,0.059,0.495,0.082,0.173,0.149,0.305,0.546,0.621,24
VCU,11,1.117,0.914,0.203,0.439,0.378,0.183,1.115,0.335,0.474,0.524,0.744,0.322,68.400,1.007,5.400,0.585,0.363,0.727,0.164,0.307,0.354,0.099,0.444,0.120,0.144,0.200,0.361,0.333,0.823,104
Colorado State,12,1.101,0.981,0.120,0.475,0.344,0.181,1.179,0.366,0.428,0.558,0.775,0.318,68.400,0.937,-1.000,0.616,0.247,0.757,0.170,0.332,0.380,0.049,0.485,0.075,0.162,0.164,0.336,0.833,0.735,83
UC San Diego,12,1.131,0.912,0.219,0.418,0.397,0.184,1.167,0.365,0.496,0.554,0.747,0.338,68.900,0.970,6.000,0.621,0.228,0.749,0.131,0.331,0.444,0.040,0.477,0.137,0.163,0.226,0.298,0.500,0.882,230
McNeese State,12,1.118,0.952,0.166,0.517,0.296,0.188,1.117,0.356,0.367,0.533,0.694,0.357,67.400,0.997,4.700,0.580,0.338,0.703,0.159,0.324,0.469,0.064,0.475,0.130,0.179,0.212,0.314,0.600,0.818,272
Liberty,12,1.094,0.953,0.141,0.440,0.414,0.146,1.183,0.395,0.477,0.584,0.652,0.309,68.000,0.924,-2.000,0.632,0.176,0.741,0.150,0.287,0.345,0.052,0.460,0.090,0.140,0.167,0.263,0.583,0.823,193
Akron,13,1.126,1.017,0.109,0.465,0.379,0.156,1.154,0.366,0.454,0.554,0.751,0.268,74.600,0.972,1.500,0.597,0.316,0.732,0.162,0.324,0.380,0.061,0.495,0.100,0.164,0.168,0.337,0.714,0.823,273
High Point,13,1.184,1.022,0.162,0.492,0.307,0.201,1.198,0.366,0.390,0.564,0.762,0.376,69.000,0.986,1.000,0.621,0.326,0.718,0.150,0.329,0.356,0.046,0.491,0.085,0.154,0.160,0.363,0.600,0.852,302
Yale,13,1.148,1.000,0.148,0.545,0.280,0.176,1.153,0.385,0.320,0.548,0.734,0.320,70.500,0.987,2.200,0.578,0.306,0.765,0.140,0.334,0.478,0.060,0.488,0.080,0.199,0.157,0.287,0.625,0.758,158
Grand Canyon,13,1.054,0.935,0.119,0.522,0.238,0.240,1.106,0.316,0.336,0.513,0.733,0.440,74.500,0.947,2.100,0.579,0.305,0.734,0.180,0.323,0.341,0.086,0.470,0.122,0.159,0.199,0.322,0.714,0.787,243
Montana,14,1.089,1.078,0.011,0.519,0.289,0.192,1.184,0.365,0.368,0.564,0.746,0.362,69.300,0.922,-2.900,0.623,0.197,0.730,0.158,0.336,0.351,0.052,0.522,0.088,0.179,0.152,0.319,0.800,0.735,237
UNCW,14,1.120,1.020,0.010,0.516,0.270,0.213,1.124,0.330,0.362,0.522,0.755,0.378,68.600,0.996,1.700,0.593,0.346,0.744,0.156,0.340,0.435,0.059,0.509,0.092,0.179,0.168,0.303,0.625,0.794,275
Lipscomb,14,1.130,0.986,0.144,0.435,0.383,0.182,1.185,0.367,0.474,0.559,0.796,0.314,68.700,0.945,-1.600,0.631,0.212,0.748,0.142,0.312,0.370,0.047,0.487,0.097,0.152,0.156,0.223,0.333,0.735,319
Troy,14,1.055,0.961,0.094,0.466,0.322,0.212,1.075,0.303,0.448,0.501,0.724,0.378,68.700,0.979,2.400,0.599,0.377,0.707,0.194,0.328,0.383,0.077,0.472,0.133,0.179,0.191,0.293,0.375,0.696,203
Omaha,15,1.091,1.080,0.011,0.482,0.318,0.200,1.123,0.356,0.391,0.526,0.730,0.360,70.600,0.973,1.400,0.570,0.283,0.774,0.152,0.352,0.450,0.039,0.532,0.820,0.192,0.145,0.372,0.667,0.647,223
Wofford,15,1.098,1.065,0.033,0.447,0.392,0.161,1.108,0.348,0.477,0.532,0.667,0.306,66.500,0.991,1.600,0.601,0.336,0.756,0.165,0.345,0.460,0.047,0.519,0.820,0.180,0.144,0.364,0.300,0.558,162
Robert Morris,15,1.073,0.999,0.074,0.469,0.295,0.209,1.097,0.346,0.367,0.512,0.718,0.376,71.700,0.977,3.700,0.560,0.347,0.745,0.178,0.340,0.356,0.077,0.507,0.090,0.189,0.183,0.303,0.667,0.764,280
