Team,Seed,Region,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
North Carolina,1,East,0.618,0.196,0.186,1.109,0.314,0.267,0.521,0.738,0.322,72.407,1.025,5.588,0.576,0.393,0.735,0.150,0.360,0.356,0.073,0.474,0.095,0.156,0.181,0.297,0.500,0.824,,,,,,,,,11
Oregon,1,West,0.517,0.267,0.216,1.120,0.351,0.339,0.523,0.716,0.402,71.366,0.983,3.909,0.569,0.324,0.708,0.159,0.364,0.338,0.101,0.490,0.107,0.184,0.201,0.323,0.500,0.818,,,,,,,,,60
Kansas,1,South,0.499,0.303,0.198,1.176,0.422,0.334,0.559,0.706,0.390,71.602,0.954,0.576,0.572,0.305,0.730,0.174,0.330,0.322,0.069,0.453,0.094,0.157,0.186,0.372,1.000,0.879,,,,,,,,,10
Virginia,1,Midwest,0.561,0.256,0.183,1.154,0.404,0.281,0.544,0.754,0.324,62.419,0.976,3.576,0.551,0.293,0.753,0.150,0.349,0.372,0.060,0.487,0.088,0.161,0.193,0.337,0.400,0.788,,,,,,,,,1
Xavier,2,East,0.486,0.280,0.234,1.116,0.362,0.347,0.515,0.731,0.429,74.538,0.977,3.813,0.548,0.330,0.756,0.170,0.315,0.404,0.052,0.479,0.098,0.182,0.189,0.344,0.500,0.844,,,,,,,,,55
Oklahoma,2,West,0.428,0.389,0.183,1.151,0.426,0.407,0.545,0.728,0.336,73.688,0.953,-0.844,0.529,0.294,0.726,0.175,0.340,0.350,0.083,0.464,0.094,0.145,0.172,0.273,0.615,0.781,,,,,,,,,2
Villanova,2,South,0.469,0.334,0.197,1.162,0.344,0.438,0.543,0.777,0.343,69.344,0.960,2.382,0.605,0.283,0.744,0.160,0.335,0.375,0.061,0.463,0.097,0.186,0.199,0.314,0.750,0.853,,,,,,,,,27
Michigan State,2,Midwest,0.493,0.343,0.164,1.173,0.434,0.353,0.560,0.730,0.300,69.082,0.989,1.500,0.558,0.361,0.795,0.170,0.302,0.325,0.089,0.426,0.064,0.154,0.138,0.340,0.500,0.853,,,,,,,,,53
West Virginia,3,East,0.535,0.229,0.235,1.078,0.329,0.306,0.502,0.670,0.461,72.465,1.009,11.206,0.555,0.413,0.746,0.193,0.332,0.361,0.052,0.488,0.137,0.146,0.250,0.548,0.800,0.765,,,,,,,,,13
Texas A&M,3,West,0.500,0.303,0.197,1.087,0.350,0.370,0.514,0.673,0.375,70.485,0.991,4.353,0.559,0.340,0.725,0.167,0.329,0.395,0.066,0.471,0.098,0.183,0.204,0.325,0.545,0.765,,,,,,,,,56
Miami,3,South,0.511,0.271,0.218,1.158,0.366,0.341,0.539,0.751,0.400,67.965,0.966,0.688,0.576,0.291,0.734,0.158,0.336,0.298,0.063,0.480,0.089,0.168,0.171,0.288,0.667,0.781,,,,,,,,,5
Utah,3,Midwest,0.506,0.295,0.200,1.166,0.360,0.376,0.552,0.717,0.384,69.803,0.945,-2.364,0.624,0.284,0.740,0.172,0.368,0.319,0.068,0.474,0.076,0.155,0.148,0.234,0.778,0.758,,,,,,,,,47
Kentucky,4,East,0.543,0.261,0.196,1.130,0.370,0.314,0.537,0.683,0.383,70.359,1.004,1.971,0.571,0.364,0.701,0.157,0.330,0.298,0.097,0.449,0.080,0.130,0.171,0.413,0.500,0.765,,,,,,,,,41
Duke,4,West,0.446,0.342,0.213,1.144,0.387,0.401,0.536,0.722,0.401,70.556,1.010,1.909,0.560,0.318,0.670,0.139,0.339,0.290,0.066,0.494,0.091,0.205,0.171,0.254,0.400,0.697,,,,,,,,,8
California,4,South,0.511,0.282,0.207,1.104,0.369,0.337,0.525,0.656,0.416,70.750,0.964,-0.636,0.553,0.307,0.775,0.171,0.351,0.265,0.082,0.440,0.058,0.155,0.136,0.372,0.500,0.697,,,,,,,,,72
Iowa State,4,Midwest,0.560,0.304,0.137,1.174,0.380,0.350,0.568,0.706,0.255,73.801,0.950,-1.719,0.610,0.258,0.709,0.157,0.336,0.357,0.065,0.495,0.083,0.191,0.168,0.242,0.364,0.656,,,,,,,,,7
